match,group,is_participating,start,end,content
1,0,yes,1058006,1058017,diagonality
2,0,yes,1059022,1059035,dialysability
3,0,yes,1059234,1059247,dialyzability
4,0,yes,1061457,1061468,diaphaneity
5,0,yes,1063339,1063353,diathermaneity
6,0,yes,1063621,1063632,diatomicity
7,0,yes,1064323,1064338,diazotizability
8,0,yes,1064440,1064450,dibasicity
9,0,yes,1065001,1065009,dicacity
10,0,yes,1067101,1067107,dickty
11,0,yes,1067885,1067890,dicty
12,0,yes,1068511,1068524,didacticality
13,0,yes,1068562,1068573,didacticity
14,0,yes,1071059,1071064,diety
15,0,yes,1071217,1071230,dietotoxicity
16,0,yes,1071608,1071625,differentiability
17,0,yes,1072004,1072014,difficulty
18,0,yes,1072165,1072174,diffinity
19,0,yes,1072244,1072254,difformity
20,0,yes,1072406,1072421,diffrangibility
21,0,yes,1072570,1072583,diffusibility
22,0,yes,1072753,1072764,diffusivity
23,0,yes,1073178,1073191,digestibility
24,0,yes,1074434,1074441,dignity
25,0,yes,1076278,1076290,dilatability
26,0,yes,1078119,1078133,dimensionality
27,0,yes,1079378,1079384,dimity
28,0,yes,1089192,1089206,directionality
29,0,yes,1089357,1089368,directivity
30,0,yes,1089920,1089932,dirigibility
31,0,yes,1089995,1090001,dirity
32,0,yes,1090193,1090198,dirty
33,0,yes,1090462,1090472,disability
34,0,yes,1091526,1091537,disaffinity
35,0,yes,1091741,1091756,disagreeability
36,0,yes,1092204,1092214,disamenity
37,0,yes,1093591,1093603,disassiduity
38,0,yes,1095506,1095520,discernibility
39,0,yes,1095637,1095651,discerpibility
40,0,yes,1095691,1095706,discerptibility
41,0,yes,1095877,1095887,discharity
42,0,yes,1096193,1096209,disciplinability
43,0,yes,1096344,1096358,disciplinarity
44,0,yes,1098058,1098070,discommodity
45,0,yes,1098143,1098155,discommunity
46,0,yes,1098624,1098637,disconformity
47,0,yes,1098654,1098666,discongruity
48,0,yes,1099142,1099155,discontiguity
49,0,yes,1099358,1099371,discontinuity
50,0,yes,1100569,1100584,discoverability
51,0,yes,1100892,1100908,discreditability
52,0,yes,1101365,1101381,discriminability
53,0,yes,1104403,1104414,disensanity
54,0,yes,1105062,1105073,disequality
55,0,yes,1105977,1105987,disformity
56,0,yes,1108332,1108342,dishonesty
57,0,yes,1110050,1110062,disingenuity
58,0,yes,1110527,1110539,disintegrity
59,0,yes,1112005,1112018,dislocability
60,0,yes,1112313,1112323,disloyalty
61,0,yes,1112579,1112588,dismality
62,0,yes,1114133,1114141,disomaty
63,0,yes,1115215,1115224,disparity
64,0,yes,1115838,1115852,dispensability
65,0,yes,1116651,1116665,dispersibility
66,0,yes,1116712,1116722,dispersity
67,0,yes,1117255,1117270,displaceability
68,0,yes,1118216,1118229,disposability
69,0,yes,1119016,1119027,disproperty
70,0,yes,1119116,1119134,disproportionality
71,0,yes,1119504,1119517,disputability
72,0,yes,1119555,1119566,disputacity
73,0,yes,1119913,1119924,disquantity
74,0,yes,1120705,1120720,disreputability
75,0,yes,1120821,1120838,disrespectability
76,0,yes,1121184,1121198,disruptability
77,0,yes,1123480,1123493,dissimilarity
78,0,yes,1124071,1124084,dissipativity
79,0,yes,1124147,1124161,dissociability
80,0,yes,1124212,1124224,dissociality
81,0,yes,1124377,1124390,dissolubility
82,0,yes,1124548,1124562,dissolvability
83,0,yes,1124613,1124628,dissolveability
84,0,yes,1125736,1125750,distensibility
85,0,yes,1125970,1125975,disty
86,0,yes,1126456,1126467,distinctity
87,0,yes,1126620,1126638,distinguishability
88,0,yes,1127328,1127343,distractibility
89,0,yes,1128051,1128065,distributivity
90,0,yes,1129023,1129036,disuniformity
91,0,yes,1129130,1129138,disunity
92,0,yes,1129244,1129254,disutility
93,0,yes,1129401,1129417,disvulnerability
94,0,yes,1130516,1130521,ditty
95,0,yes,1130983,1130993,diuturnity
96,0,yes,1131738,1131754,diversifiability
97,0,yes,1132011,1132020,diversity
98,0,yes,1132098,1132111,divertibility
99,0,yes,1132746,1132755,dividuity
100,0,yes,1132766,1132778,divinability
101,0,yes,1133087,1133095,divinity
102,0,yes,1133205,1133217,divisibility
